date,daily_notional,daily_pnl_1d,cum_pnl_1d,daily_pnl_3d,cum_pnl_3d,daily_pnl_5d,cum_pnl_5d,daily_pnl_10d,cum_pnl_10d,daily_pnl_20d,cum_pnl_20d,daily_pnl_30d,cum_pnl_30d
2026-01-15,600002.0,2007.213972721257,-162744.76545616562,6443.713787345537,81173.73293861069,-28743.069611779305,121596.5037407447,-75024.57482836564,122579.73363909998,1788.685896805202,533402.0438004312,-3144.5992407702142,651960.8957441855
2026-01-16,2165008.0,19767.028071537046,-142977.73738462856,5278.384422488061,86452.11736109875,-104.27765615449698,121492.22608459019,7773.930435909719,130353.6640750097,-36947.07014332092,496454.97365711024,-1203.7233499341528,650757.1723942515
2026-01-17,516017.0,-14738.435362025804,-157716.17274665437,-27068.102989463376,59384.01437163537,-29440.242619733854,92051.98346485634,-6645.666495039197,123707.9975799705,-27949.676893830245,468505.29676328,-13692.295398306938,637064.8769959445
2026-01-18,166012.0,-547.595010976115,-158263.76775763047,-629.3841549136491,58754.63021672172,1693.8650612127938,93745.84852606914,2944.6577730448307,126652.65535301533,-654.1810139895904,467851.1157492904,3709.656656436603,640774.5336523812
2026-01-19,500001.0,670.9917285473316,-157592.77602908315,17662.38091367251,76417.01113039424,29610.432977849785,123356.28150391893,16493.528911640118,143146.18426465546,-56731.729727014324,411119.38602227607,-30692.686224603036,610081.8474277782
2026-01-21,2713127.0,26923.04677799808,-130669.72925108507,22665.163924614284,99082.17505500853,2251.1187187798464,125607.40022269878,-74843.2551914987,68302.92907315676,-100190.25798922479,310929.12803305127,-76244.5679327298,533837.2794950483
2026-01-22,135009.0,584.9652817612929,-130084.76396932377,-1985.756955370852,97096.41809963768,-2292.18031017767,123315.2199125211,355.5660417982156,68658.49511495497,-4073.411040732998,306855.7169923183,-1424.193472942186,532413.0860221061
2026-01-23,3205092.0,9287.924911485574,-120796.8390578382,4245.120212053272,101341.53831169095,-3540.971000076497,119774.2489124446,-75950.91373712741,-7292.418622172438,-87533.66310249163,219322.05388982664,-10028.326708165127,522384.759313941
2026-01-25,245005.0,11086.168041094312,-109710.67101674389,10043.928668674977,111385.46698036592,13801.68860244366,133575.93751488827,10815.829783427682,3523.411161255244,16581.150722773426,235903.20461260006,20382.962885333414,542767.7221992745
2026-01-26,985059.0,-2661.4297669043754,-112372.10078364826,-2349.363339313816,109036.1036410521,-8520.946805225816,125054.99070966245,-13500.803528956309,-9977.392367701064,13087.463268423779,248990.66788102384,16417.965504516065,559185.6877037905
2026-01-27,2002.0,28.139785201576615,-112343.96099844668,5.80877669306156,109041.91241774516,92.37377005999413,125147.36447972244,139.17631965303158,-9838.216048048032,148.38348047845435,249139.0513615023,-6.268220461368713,559179.4194833292
2026-01-28,147007.0,760.9910785766435,-111582.96991987004,-543.4507805964222,108498.46163714874,289.22999528343024,125436.59447500587,-2500.6852731678905,-12338.901321215923,-453.10428625779946,248685.9470752445,-9891.945857655457,549287.4736256737
2026-01-29,1000001.0,2982.5832429835114,-108600.38667688653,6498.13911171259,114996.60074886132,23658.5525656072,149095.14704061305,18399.460172020183,6060.55885080426,11598.768267631707,260284.7153428762,45746.6700729909,595034.1436986646
2026-01-30,420013.0,393.7154230452369,-108206.67125384128,17227.290472428584,132223.8912212899,16201.819739549741,165296.9667801628,27388.09582817887,33448.65467898313,-15273.41025202697,245011.30509084923,-10764.362855585354,584269.7808430792
2026-01-31,1046005.0,-8270.212905314129,-116476.88415915541,-25634.176379151402,106589.71484213849,-1924.3438199961886,163372.6229601666,-15537.480313388369,17911.174365594765,-19292.767851303364,225718.53723954587,-33599.38757923855,550670.3932638407
2026-02-01,7007.0,-97.75179494176247,-116574.63595409718,6.1239417664767615,106595.83878390497,190.65907996685596,163563.28204013346,443.55341731693164,18354.727782911697,506.1291637852986,226224.66640333115,669.3555334162587,551339.748797257
2026-02-02,360007.0,-4413.8300086970885,-120988.46596279426,-15625.736251225913,90970.10253267906,-16244.401753048092,147318.88028708537,-36624.0244748388,-18269.296691927102,-43467.924537318635,182756.7418660125,-39072.787597943665,512266.9611993133
2026-02-03,773016.0,-4448.709437328144,-125437.1754001224,-9065.234566651337,81904.86796602771,-8640.818016305002,138678.06227078036,-7900.525124101311,-26169.821816028412,-8692.833429618391,174063.90843639412,-33581.93188907115,478685.02931024216
