ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
BBY,c7b8e5f0c18d,8397979e624a,2026-01-04,2026-01-23,19.0,1001.0,1001.0,matched
FDS,a7c96b378bc1,3c0c16639a63,2026-01-06,2026-01-12,6.0,100001.0,15001.0,matched
FDS,6d1d93b05109,b76c8ce45c64,2026-02-12,2026-03-21,37.0,1001.0,1001.0,matched
PCTY,1a8b5324df08,c482e4190138,2026-01-21,2026-02-12,22.0,1001.0,15001.0,matched
ALNY,4dd3dd049cdf,901d633764d7,2026-01-23,2026-02-19,27.0,1001.0,1001.0,matched
GKOS,7c29db8b7fb7,72cd2752e2a3,2026-01-26,2026-02-26,31.0,15001.0,1001.0,matched
UNF,58ce106f8a3f,814373616ff3,2026-02-12,2026-02-26,14.0,15001.0,1001.0,matched
NVDA,e48e2936224f,b97f50e92297,2026-01-06,2026-01-17,11.0,500001.0,500001.0,matched
NVDA,9c0dbb3dd360,14b72c440f4b,2026-01-23,2026-03-06,42.0,15001.0,250001.0,matched
NVDA,4fb1e8f470fc,218bb2cc8704,2026-02-10,2026-03-11,29.0,1000001.0,500001.0,matched
NVDA,8d058fd0c918,257bbd7e1444,2026-02-12,2026-03-17,33.0,50001.0,500001.0,matched
EBAY,c347527baea4,3f575466b08e,2026-01-23,2026-02-19,27.0,1001.0,1001.0,matched
BAX,fac21ffced4d,68de31153fe2,2026-01-23,2026-03-04,40.0,1001.0,1001.0,matched
SOFI,5726e658ce48,51b063fdcf26,2026-02-12,2026-02-12,0.0,15001.0,1001.0,matched
RAMP,f6f0b3ddc74a,e73453862aa2,2026-01-26,2026-02-26,31.0,15001.0,1001.0,matched
VST,5117cd514892,46512616a6a8,2026-03-02,2026-03-26,24.0,15001.0,1001.0,matched
AVNS,20a1850d99e2,d9197e2fd504,2026-03-04,2026-03-30,26.0,15001.0,1001.0,matched
EOG,f8846cd7bf38,a235414f663f,2026-01-01,2026-01-12,11.0,100001.0,1001.0,matched
HLI,00e7c6dfed00,b2d8cc7217d0,2026-03-11,2026-03-26,15.0,,1001.0,matched
ZBRA,8cc397bab321,7ef1b523e055,2026-02-10,2026-03-17,35.0,500001.0,,matched
MOH,509d298168ec,5fe277a40227,2026-02-12,2026-03-26,42.0,15001.0,1001.0,matched
SYK,b37f1c60b1f0,f6fd081f6fba,2026-01-07,2026-03-18,70.0,1001.0,100001.0,matched
LULU,cc9e9d070215,68fe031aa7f1,2026-01-06,2026-02-10,35.0,15001.0,100001.0,matched
MA,aea7722c785a,c39ad41f3ebc,2026-01-21,2026-03-18,56.0,15001.0,250001.0,matched
SHAK,0299a4cca230,c497185cb4c2,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
NRG,20d30b9c65e9,9b29248f0ee9,2026-01-06,2026-02-10,35.0,15001.0,100001.0,matched
NFLX,0ee8d7da006c,c80aca484b0e,2026-01-23,2026-02-10,18.0,100001.0,1000001.0,matched
WAT,d7834738398e,6edf1f9cc501,2026-01-06,2026-02-10,35.0,50001.0,100001.0,matched
WAT,90dfe1f2cde1,041f34cdc9a2,2026-01-07,2026-02-11,35.0,50001.0,100001.0,matched
