ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
ACN,6feb1a39211b,df163f5f1e46,2026-01-11,2026-02-12,32.0,250001.0,1001.0,matched
ACN,92484015da09,f8c4c9404f58,2026-01-21,2026-02-12,22.0,50001.0,250001.0,matched
ACN,0e2610c0a0ab,c40a2a5a0696,2026-01-21,2026-02-21,31.0,1001.0,1001.0,matched
ACN,baaf61dea603,ab1d1435259a,2026-02-10,2026-03-17,35.0,500001.0,1000001.0,matched
ACN,300ac395d0e2,,2026-03-02,,,15001.0,,open
ACN,f1d690c45b6f,,2026-03-12,,,15001.0,,open
ACN,32e4384ccf0f,,2026-03-16,,,100001.0,,open
ACN,12d10b290a41,,2026-03-21,,,1001.0,,open
SRPT,79c85d2f25d2,,2026-03-04,,,15001.0,,open
SRPT,7729b7b0b966,,2026-03-30,,,1001.0,,open
BX,c2800687cc6d,f5c5f06b4845,2026-02-12,2026-02-12,0.0,100001.0,1001.0,matched
BX,,667954e83bda,,2026-02-23,,,1001.0,prior_position
BX,a5574ab8cebe,52378f7ce451,2026-03-02,2026-03-14,12.0,50001.0,1001.0,matched
BX,1ebca6409f26,,2026-03-11,,,15001.0,,open
BX,f8f3a45f1d16,,2026-03-17,,,1001.0,,open
BX,3c5bbec466ee,,2026-03-18,,,100001.0,,open
SNOW,,14313639c4f9,,2026-01-27,,,1001.0,prior_position
SNOW,,97edc7748323,,2026-02-07,,,1001.0,prior_position
SNOW,,d666d1786e4e,,2026-02-12,,,15001.0,prior_position
SNOW,042585fc7299,,2026-02-23,,,1001.0,,open
SNOW,de51ca097089,,2026-03-17,,,1001.0,,open
SNOW,19c0b5f9b6a0,,2026-03-18,,,15001.0,,open
SNOW,deacc59a2ff4,,2026-03-18,,,15001.0,,open
SNOW,358ac4843a2a,,2026-03-26,,,1001.0,,open
SNA,7d44c73f441f,,2026-01-01,,,15001.0,,open
SNA,e9e629c15714,,2026-01-06,,,15001.0,,open
