date,position_cost,position_mtm,n_open_lots,n_tickers,realized_pnl,unrealized_pnl,total_pnl,daily_pnl,cum_pnl
2025-10-24,461008.0,569350.1752356851,8,7,0.0,108342.17523568505,108342.17523568505,7286.0510192281945,108342.17523568505
2025-10-27,461008.0,567720.6776881973,8,7,0.0,106712.67768819735,106712.67768819735,-1629.4975474876992,106712.67768819735
2025-10-28,461008.0,565381.1594754352,8,7,0.0,104373.15947543526,104373.15947543526,-2339.5182127620938,104373.15947543526
2025-10-29,461008.0,582328.3549595224,8,7,0.0,121320.35495952236,121320.35495952236,16947.195484087104,121320.35495952236
2025-10-30,461008.0,549716.8260971407,8,7,0.0,88708.82609714063,88708.82609714063,-32611.528862381732,88708.82609714063
2025-10-31,461008.0,548412.9397093352,8,7,0.0,87404.93970933532,87404.93970933532,-1303.886387805309,87404.93970933532
2025-11-03,461008.0,542250.0142789886,8,7,0.0,81242.01427898859,81242.01427898859,-6162.925430346731,81242.01427898859
2025-11-04,461008.0,535953.3827491159,8,7,0.0,74945.382749116,74945.382749116,-6296.631529872582,74945.382749116
2025-11-05,461008.0,530654.007353962,8,7,0.0,69646.00735396204,69646.00735396204,-5299.375395153969,69646.00735396204
2025-11-06,461008.0,522624.8320022715,8,7,0.0,61616.83200227151,61616.83200227151,-8029.175351690523,61616.83200227151
2025-11-07,461008.0,530595.7583201119,8,7,0.0,69587.75832011196,69587.75832011196,7970.9263178404435,69587.75832011196
2025-11-10,461008.0,545294.385786486,8,7,0.0,84286.38578648599,84286.38578648599,14698.627466374033,84286.38578648599
2025-11-11,461008.0,542763.0774350134,8,7,0.0,81755.07743501334,81755.07743501334,-2531.308351472646,81755.07743501334
2025-11-12,461008.0,530278.7647578784,8,7,0.0,69270.76475787835,69270.76475787835,-12484.312677134993,69270.76475787835
2025-11-13,461008.0,543474.0954337483,8,7,0.0,82466.09543374839,82466.09543374839,13195.330675870035,82466.09543374839
2025-11-14,461008.0,533832.7198712899,8,7,0.0,72824.7198712898,72824.7198712898,-9641.37556245859,72824.7198712898
2025-11-17,461008.0,541992.6994342065,8,7,0.0,80984.69943420649,80984.69943420649,8159.979562916691,80984.69943420649
2025-11-18,461008.0,552481.4851631586,8,7,0.0,91473.48516315866,91473.48516315866,10488.785728952178,91473.48516315866
2025-11-19,461008.0,566559.3059732587,8,7,0.0,105551.3059732587,105551.3059732587,14077.820810100035,105551.3059732587
2025-11-20,461008.0,538246.8126071449,8,7,0.0,77238.8126071449,77238.8126071449,-28312.493366113806,77238.8126071449
2025-11-21,461008.0,538361.0193432169,8,7,0.0,77353.01934321696,77353.01934321696,114.20673607206845,77353.01934321696
2025-11-24,461008.0,540855.7156038003,8,7,0.0,79847.71560380023,79847.71560380023,2494.696260583267,79847.71560380023
2025-11-25,461008.0,562567.0471759662,8,7,0.0,101559.0471759662,101559.0471759662,21711.331572165975,101559.0471759662
2025-11-26,461008.0,556060.4550311381,8,7,0.0,95052.45503113825,95052.45503113825,-6506.592144827955,95052.45503113825
2025-11-28,461008.0,557030.302620163,8,7,0.0,96022.30262016287,96022.30262016287,969.8475890246191,96022.30262016287
2025-12-01,461008.0,553016.6715649674,8,7,0.0,92008.67156496728,92008.67156496728,-4013.631055195583,92008.67156496728
2025-12-02,461008.0,554899.4186751209,8,7,0.0,93891.41867512089,93891.41867512089,1882.7471101536066,93891.41867512089
2025-12-03,511009.0,608621.5168322946,9,8,0.0,97612.51683229458,97612.51683229458,3721.098157173692,97612.51683229458
2025-12-04,511009.0,618504.2105628402,9,8,0.0,107495.21056284024,107495.21056284024,9882.693730545652,107495.21056284024
2025-12-05,511009.0,631469.1781637421,9,8,0.0,120460.17816374206,120460.17816374206,12964.96760090183,120460.17816374206
2025-12-08,511009.0,633913.4601609313,9,8,0.0,122904.46016093135,122904.46016093135,2444.2819971892895,122904.46016093135
2025-12-09,511009.0,610334.5599210984,9,8,0.0,99325.5599210983,99325.5599210983,-23578.90023983305,99325.5599210983
2025-12-10,511009.0,609195.8004718102,9,8,0.0,98186.80047181022,98186.80047181022,-1138.759449288089,98186.80047181022
2025-12-11,511009.0,616006.7339427094,9,8,0.0,104997.7339427094,104997.7339427094,6810.933470899181,104997.7339427094
2025-12-12,511009.0,633200.8330910469,9,8,0.0,122191.83309104685,122191.83309104685,17194.099148337453,122191.83309104685
2025-12-15,511009.0,626328.1545223393,9,8,0.0,115319.15452233927,115319.15452233927,-6872.678568707575,115319.15452233927
2025-12-16,511009.0,619743.5790767032,9,8,0.0,108734.57907670307,108734.57907670307,-6584.575445636205,108734.57907670307
2025-12-17,511009.0,624130.3470575942,9,8,0.0,113121.34705759425,113121.34705759425,4386.767980891178,113121.34705759425
2025-12-18,511009.0,634565.4187575092,9,8,0.0,123556.4187575093,123556.4187575093,10435.071699915046,123556.4187575093
2025-12-19,511009.0,618150.4119267429,9,8,0.0,107141.41192674292,107141.41192674292,-16415.006830766375,107141.41192674292
2025-12-22,511009.0,613902.7257020005,9,8,0.0,102893.72570200053,102893.72570200053,-4247.686224742385,102893.72570200053
2025-12-23,511009.0,617675.8910188472,9,8,0.0,106666.89101884727,106666.89101884727,3773.165316846731,106666.89101884727
2025-12-24,511009.0,621976.1746011758,9,8,0.0,110967.17460117584,110967.17460117584,4300.283582328571,110967.17460117584
2025-12-26,511009.0,628509.3021938322,9,8,0.0,117500.30219383222,117500.30219383222,6533.127592656383,117500.30219383222
